INFO  - 2015-11-02 01:15:58.352; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4387386/huntsville-alabama-handguns-for-trade--glock-30- (1516718793269706752)]} 0 1
INFO  - 2015-11-02 01:15:58.368; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4459908/columbus-ohio-handguns-for-sale--smith---wesson-m-p-shield-9mm- (1516718793286483968)]} 0 0
INFO  - 2015-11-02 01:15:58.385; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4454024/columbus-ohio-ammo-for-sale--surplus-7-62-x-51-nato-1000-round-case (1516718793304309760)]} 0 0
INFO  - 2015-11-02 01:15:58.403; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4381776/tulsa-oklahoma-handguns-for-sale--glock-26-g4--4-mags---lasermax-guide-rod (1516718793322135552)]} 0 1
INFO  - 2015-11-02 01:15:58.421; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4471847/buffalo-new-york-handguns-for-sale----------s-w--500-revolver------------50-cal (1516718793342058496)]} 0 1
INFO  - 2015-11-02 01:15:58.438; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4465332/flint-michigan-handguns-for-sale--fnh-9mm-4-in-barrel-semi-auto-fns-9 (1516718793359884288)]} 0 0
INFO  - 2015-11-02 01:15:58.456; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4343998/dayton-ohio-rifles-for-trade--spikes-tactical-mid-length-ar15 (1516718793378758656)]} 0 1
INFO  - 2015-11-02 01:15:58.472; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4350647/knoxville-tennessee-shotguns-for-sale-trade--remington-870-sportsman-field-12ga (1516718793395535872)]} 0 1
INFO  - 2015-11-02 01:15:58.489; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4460522/hampton-roads-virginia-rifles-want-to-buy--ak47 (1516718793413361664)]} 0 0
INFO  - 2015-11-02 01:15:58.507; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4489611/baton-rouge-rifles-for-sale--mossberg-4x4-7mm-model-100 (1516718793432236032)]} 0 0
INFO  - 2015-11-02 01:15:58.525; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4294488/oklahoma-city-oklahoma-shotguns-for-sale-trade--mossberg-930-semi-auto-12-gauge-shotgun--2-barrels--home-defense--hunting (1516718793450061824)]} 0 1
INFO  - 2015-11-02 01:15:58.542; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4358628/oklahoma-city-oklahoma-gun-parts-for-sale--quad-rails (1516718793468936192)]} 0 0
INFO  - 2015-11-02 01:15:58.560; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/3937538/albuquerque-new-mexico-rifles-for-sale--browning-acera-300-wsm-rifle (1516718793487810560)]} 0 0
INFO  - 2015-11-02 01:15:58.578; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4494727/dallas-texas-handguns-for-sale--sig-sauer-p250-compact-9mm--375-cash-only (1516718793506684928)]} 0 0
INFO  - 2015-11-02 01:15:58.596; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4488547/greenville-georgia-rifles-for-sale--psa-ar-15-5-56-w--magpul-moe-furniture (1516718793524510720)]} 0 1
INFO  - 2015-11-02 01:15:58.612; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4052878/indiana-gun-parts-for-sale-trade--magpul-ubr-stock-fde- (1516718793542336512)]} 0 0
INFO  - 2015-11-02 01:15:58.630; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4454149/st-louis-missouri-handguns-for-sale--ruger-lcr-357mag- (1516718793561210880)]} 0 0
INFO  - 2015-11-02 01:15:58.649; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4407639/springfield-missouri-ammo-for-sale--5-7x28-fnh-40-gr-hornady-v-max-blue-tip-ammo (1516718793581133824)]} 0 0
INFO  - 2015-11-02 01:15:58.667; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4387986/tulsa-oklahoma-handguns-for-sale--springfield-xd-40 (1516718793600008192)]} 0 1
